,count,mse,mae,directional_accuracy
Mar,18,33.916509212745595,2.021603733902487,0.6111111111111112
Oct,8,4.73484770851511,1.293238499887399,0.5
Nov,2,43.8381360000724,4.813683274355062,1.0
