,count,mse,mae,directional_accuracy
Monday,6,0.6925384171404628,0.7188190661899982,0.5
Tuesday,6,0.5769384642751957,0.5695904731026044,0.8333333333333334
Wednesday,6,100.8278267226176,4.999916398387698,0.5
Thursday,4,30.38373601984873,4.154202128013737,0.5
Sunday,6,0.3222422990153258,0.3358962699862224,0.6666666666666666
